ID,geneName,ORF,fullName,uniprot,GO,EC,KO,organism
2345,XC_2412,XC_2412,Uncharacterized protein,A0A0H2X7Y2,,,,Xanthomonas campestris pv. campestris (strain 8004)
2346,XC_2413,XC_2413,Putative NTPase VagA,A0A0H2X895,GO:0016021; GO:0009291,,K03205,Xanthomonas campestris pv. campestris (strain 8004)
2347,XC_2414,XC_2414,Uncharacterized protein,A0A0H2X9V4,,,,Xanthomonas campestris pv. campestris (strain 8004)
2348,XC_2415,XC_2415,Uncharacterized protein,A0A0H2X868,,,,Xanthomonas campestris pv. campestris (strain 8004)
2349,XC_2416,XC_2416,Uncharacterized protein,A0A0H2X9T1,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2350,XC_2417,XC_2417,Plasmid mobilization protein,A0A0H2X7Y7,,,,Xanthomonas campestris pv. campestris (strain 8004)
2351,XC_2418,XC_2418,Uncharacterized protein,A0A0H2X899,,,,Xanthomonas campestris pv. campestris (strain 8004)
2352,XC_2419,XC_2419,Uncharacterized protein,A0A0H2X9V9,,,,Xanthomonas campestris pv. campestris (strain 8004)
2353,XC_2420,XC_2420,Uncharacterized protein,A0A0H2X873,,,,Xanthomonas campestris pv. campestris (strain 8004)
2354,XC_2421,XC_2421,Phage-related integrase,A0A0H2X9T5,GO:0003677; GO:0015074; GO:0006310,,,Xanthomonas campestris pv. campestris (strain 8004)
2355,XC_2422,XC_2422,Uncharacterized protein,A0A0H2X7Z2,GO:0008080,,,Xanthomonas campestris pv. campestris (strain 8004)
2356,XC_2423,XC_2423,Uncharacterized protein,A0A0H2X9Z0,,,,Xanthomonas campestris pv. campestris (strain 8004)
2357,XC_2424,XC_2424,Uncharacterized protein,A0A0H2X8C6,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2358,XC_2425,XC_2425,Uncharacterized protein,A0A0H2X8A4,,,,Xanthomonas campestris pv. campestris (strain 8004)
2359,XC_2426,XC_2426,RNA-directed DNA polymerase,A0A0H2X9W7,GO:0003964,,,Xanthomonas campestris pv. campestris (strain 8004)
2360,XC_2427,XC_2427,Uncharacterized protein,A0A0H2X823,GO:0046872,,,Xanthomonas campestris pv. campestris (strain 8004)
2361,XC_2428,XC_2428,Ankyrin repeat protein,A0A0H2X8D1,,,,Xanthomonas campestris pv. campestris (strain 8004)
2362,XC_2429,XC_2429,Uncharacterized protein,A0A0H2X9Z6,,,,Xanthomonas campestris pv. campestris (strain 8004)
2363,XC_2430,XC_2430,Predicted transcriptional regulator,A0A0H2X8A8,,,,Xanthomonas campestris pv. campestris (strain 8004)
2364,XC_2431,XC_2431,Uncharacterized protein,A0A0H2X9X1,,,,Xanthomonas campestris pv. campestris (strain 8004)
2365,XC_2432,XC_2432,Uncharacterized protein,A0A0H2X828,,,,Xanthomonas campestris pv. campestris (strain 8004)
2366,XC_2433,XC_2433,ATPases of the AAA+ class,A0A0H2X8D6,GO:0005524,,,Xanthomonas campestris pv. campestris (strain 8004)
2367,XC_2434,XC_2434,Phage associated protein,A0A0H2X9Z9,,,,Xanthomonas campestris pv. campestris (strain 8004)
2368,XC_2435,XC_2435,Uncharacterized protein,A0A0H2X8B1,GO:0003676,,,Xanthomonas campestris pv. campestris (strain 8004)
2369,XC_2436,XC_2436,Uncharacterized protein,A0A0H2X9X4,,,,Xanthomonas campestris pv. campestris (strain 8004)
2370,XC_2437,XC_2437,Uncharacterized protein,A0A0H2X833,,,,Xanthomonas campestris pv. campestris (strain 8004)
2371,XC_2438,XC_2438,Plasmid-related protein,A0A0H2X8E0,,,,Xanthomonas campestris pv. campestris (strain 8004)
2372,XC_2439,XC_2439,Uncharacterized protein,A0A0H2XA02,,,,Xanthomonas campestris pv. campestris (strain 8004)
2373,XC_2440,XC_2440,Uncharacterized protein,A0A0H2X8B3,GO:0016788,,K03424,Xanthomonas campestris pv. campestris (strain 8004)
2374,XC_2441,XC_2441,Uncharacterized protein,A0A0H2X9X8,,,,Xanthomonas campestris pv. campestris (strain 8004)
2375,XC_2442,XC_2442,Uncharacterized protein,A0A0H2X836,,,,Xanthomonas campestris pv. campestris (strain 8004)
2376,XC_2443,XC_2443,Uncharacterized protein,A0A0H2X8E4,,,,Xanthomonas campestris pv. campestris (strain 8004)
2377,XC_2444,XC_2444,Uncharacterized protein,A0A0H2XA07,,,,Xanthomonas campestris pv. campestris (strain 8004)
2378,XC_2445,XC_2445,Aldehyde dehydrogenase,A0A0H2X8B6,GO:0016620,,K00128,Xanthomonas campestris pv. campestris (strain 8004)
2379,XC_2446,XC_2446,Uncharacterized protein,A0A0H2X9Y2,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2380,XC_2447,XC_2447,Uncharacterized protein,A0A0H2X839,GO:0008168,,,Xanthomonas campestris pv. campestris (strain 8004)
2381,pyrD,XC_2448,Dihydroorotate dehydrogenase (quinone),Q4UTX5,GO:0005737; GO:0005886; GO:0004152; GO:0006207; GO:0044205,1.3.5.2,K00254,Xanthomonas campestris pv. campestris (strain 8004)
2382,murB,XC_2449,UDP-N-acetylenolpyruvoylglucosamine reductase,Q4UTX4,GO:0005737; GO:0050660; GO:0008762; GO:0007049; GO:0051301; GO:0071555; GO:0009252; GO:0008360,1.3.1.98,K00075,Xanthomonas campestris pv. campestris (strain 8004)
2383,XC_2450,XC_2450,Integral membrane protein,A0A0H2X8E9,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2384,XC_2451,XC_2451,Putative resistance protein,A0A0H2XA12,GO:0036361; GO:0006520,,K01779,Xanthomonas campestris pv. campestris (strain 8004)
2385,XC_2452,XC_2452,Transport protein,A0A0H2X8C1,GO:0016021; GO:0005215; GO:0055085,,,Xanthomonas campestris pv. campestris (strain 8004)
2386,XC_2453,XC_2453,Prop transport protein,A0A0H2X9Y5,GO:0016021; GO:0055085,,,Xanthomonas campestris pv. campestris (strain 8004)
2387,XC_2454,XC_2454,Phosphatidylglycerophosphatase B-related protein,A0A0H2X843,GO:0016021,,K19302,Xanthomonas campestris pv. campestris (strain 8004)
2388,ispG,XC_2455,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),Q4UTW8,GO:0051539; GO:0046429; GO:0005506; GO:0019288; GO:0016114,1.17.7.3,K03526,Xanthomonas campestris pv. campestris (strain 8004)
2389,XC_2456,XC_2456,Two-component system sensor protein,A0A0H2X8F3,GO:0016021; GO:0005622; GO:0005524; GO:0000155,,K15011,Xanthomonas campestris pv. campestris (strain 8004)
2390,XC_2457,XC_2457,Two-component system regulatory protein,A0A0H2XA17,GO:0005622; GO:0043565; GO:0000160,,K15012,Xanthomonas campestris pv. campestris (strain 8004)
2391,XC_2458,XC_2458,"Mannan endo-1,4-beta-mannosidase",A0A0H2X8C4,GO:0004553; GO:0005975,,K01218,Xanthomonas campestris pv. campestris (strain 8004)
2392,XC_2459,XC_2459,Uncharacterized protein,A0A0H2X9Y9,,,,Xanthomonas campestris pv. campestris (strain 8004)
2393,XC_2460,XC_2460,Sodium/glucose cotransport protein,A0A0H2X848,GO:0016021; GO:0005215; GO:0055085,,K03307,Xanthomonas campestris pv. campestris (strain 8004)
2394,XC_2461,XC_2461,"Glucan 1,4-beta-glucosidase",A0A0H2X8F7,GO:0004553; GO:0005975,,K05349,Xanthomonas campestris pv. campestris (strain 8004)
2395,XC_2462,XC_2462,Alkaline phosphatase,A0A0H2XA21,,,K07093,Xanthomonas campestris pv. campestris (strain 8004)
2396,XC_2463,XC_2463,Uncharacterized protein,A0A0H2X8C9,,,,Xanthomonas campestris pv. campestris (strain 8004)
2397,XC_2464,XC_2464,Uncharacterized protein,A0A0H2X9Z4,,,,Xanthomonas campestris pv. campestris (strain 8004)
2398,pgi,XC_2465,Glucose-6-phosphate isomerase,Q4UTV8,GO:0005737; GO:0004347; GO:0006094; GO:0006096,5.3.1.9,K01810,Xanthomonas campestris pv. campestris (strain 8004)
2399,panD,XC_2466,Aspartate 1-decarboxylase,Q4UTV7,GO:0005737; GO:0004068; GO:0006523; GO:0015940,4.1.1.11,K01579,Xanthomonas campestris pv. campestris (strain 8004)
2400,panC,XC_2467,Pantothenate synthetase,Q4UTV6,GO:0005737; GO:0005524; GO:0004592; GO:0015940,6.3.2.1,K01918,Xanthomonas campestris pv. campestris (strain 8004)
2401,panB,XC_2468,3-methyl-2-oxobutanoate hydroxymethyltransferase,Q4UTV5,GO:0005737; GO:0003864; GO:0046872; GO:0015940,2.1.2.11,K00606,Xanthomonas campestris pv. campestris (strain 8004)
2402,XC_2469,XC_2469,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,A0A0H2X853,GO:0003848; GO:0016301; GO:0009396,,K00950,Xanthomonas campestris pv. campestris (strain 8004)
2403,pcnB,XC_2470,Poly(A) polymerase I,A0A0H2X8G1,GO:0005524; GO:0004652; GO:0003723; GO:0006378; GO:0006351,2.7.7.19,K00970,Xanthomonas campestris pv. campestris (strain 8004)
2404,folE2,XC_2471,GTP cyclohydrolase FolE2,Q4UTV2,GO:0003934; GO:0035998,3.5.4.16,K09007,Xanthomonas campestris pv. campestris (strain 8004)
2405,XC_2472,XC_2472,N-acetylmuramoyl-L-alanine amidase,A0A0H2XA26,GO:0008745; GO:0009253,,K01448,Xanthomonas campestris pv. campestris (strain 8004)
2406,XC_2473,XC_2473,Uncharacterized protein,A0A0H2X8D4,,,,Xanthomonas campestris pv. campestris (strain 8004)
2407,XC_2474,XC_2474,Uncharacterized protein,A0A0H2X9Z8,,,,Xanthomonas campestris pv. campestris (strain 8004)
2408,XC_2475,XC_2475,Sensor kinase,A0A0H2X857,GO:0016021; GO:0016301,,,Xanthomonas campestris pv. campestris (strain 8004)
2409,XC_2476,XC_2476,MFS transporter,A0A0H2X8G4,GO:0016021; GO:0022891,,K08139,Xanthomonas campestris pv. campestris (strain 8004)
2410,xylA1,XC_2477,Xylose isomerase 1,Q4UTU6,GO:0005737; GO:0000287; GO:0009045; GO:0042732; GO:0006098,5.3.1.5,K01805,Xanthomonas campestris pv. campestris (strain 8004)
2411,XC_2478,XC_2478,D-xylulokinase,A0A0H2XA31,GO:0004856; GO:0005997,,K00854,Xanthomonas campestris pv. campestris (strain 8004)
2412,XC_2479,XC_2479,Uncharacterized protein,A0A0H2X8D8,GO:0004560,,K15923,Xanthomonas campestris pv. campestris (strain 8004)
2413,XC_2480,XC_2480,Alpha-xylosidase,A0A0H2XA05,GO:0030246; GO:0004553; GO:0005975,,K01811,Xanthomonas campestris pv. campestris (strain 8004)
2414,XC_2481,XC_2481,Uncharacterized protein,A0A0H2X862,GO:0009341; GO:0004565; GO:0005975,,,Xanthomonas campestris pv. campestris (strain 8004)
2415,XC_2482,XC_2482,Sialic acid-specific 9-O-acetylesterase,A0A0H2X8G7,,,K05970,Xanthomonas campestris pv. campestris (strain 8004)
2416,XC_2483,XC_2483,Cellulase,A0A0H2XA36,,,,Xanthomonas campestris pv. campestris (strain 8004)
2417,XC_2484,XC_2484,TonB-dependent receptor,A0A0H2X8E2,GO:0016020; GO:0004872; GO:0006810,,,Xanthomonas campestris pv. campestris (strain 8004)
2418,XC_2485,XC_2485,TonB-dependent receptor,A0A0H2XA09,GO:0016020; GO:0004872; GO:0006810,,,Xanthomonas campestris pv. campestris (strain 8004)
2419,XC_2486,XC_2486,Galactose-binding protein regulator,A0A0H2X866,GO:0003677; GO:0003700; GO:0006351,,,Xanthomonas campestris pv. campestris (strain 8004)
2420,XC_2487,XC_2487,4-hydroxy-2-oxoglutarate aldolase/2-deydro-3-deoxyphosphogluconate aldolase,A0A0H2X8H1,GO:0016829; GO:0008152,,K01631,Xanthomonas campestris pv. campestris (strain 8004)
2421,dgoD,XC_2488,D-galactonate dehydratase,Q4UTT5,GO:0008869; GO:0000287; GO:0009063; GO:0034194,4.2.1.6,K01684,Xanthomonas campestris pv. campestris (strain 8004)
2422,XC_2489,XC_2489,Regucalcin,A0A0H2XA40,,,,Xanthomonas campestris pv. campestris (strain 8004)
2423,XC_2490,XC_2490,2-oxo-3-deoxygalactonate kinase,A0A0H2X8E7,GO:0008671; GO:0034194,,K00883,Xanthomonas campestris pv. campestris (strain 8004)
2424,XC_2491,XC_2491,Ferredoxin,A0A0H2XA13,GO:0009055,,K05524,Xanthomonas campestris pv. campestris (strain 8004)
2425,XC_2492,XC_2492,Uncharacterized protein,A0A0H2X869,,,,Xanthomonas campestris pv. campestris (strain 8004)
2426,dapA,XC_2493,4-hydroxy-tetrahydrodipicolinate synthase,A0A0H2X8H5,GO:0005737; GO:0008840; GO:0019877; GO:0009089,4.3.3.7,K01714,Xanthomonas campestris pv. campestris (strain 8004)
2427,XC_2494,XC_2494,Glycine cleavage system transcriptional repressor,A0A0H2XA44,GO:0016597; GO:0008152; GO:0006355,,K03567,Xanthomonas campestris pv. campestris (strain 8004)
2428,XC_2495,XC_2495,Uncharacterized protein,A0A0H2X8F2,,,,Xanthomonas campestris pv. campestris (strain 8004)
2429,XC_2496,XC_2496,Bacterioferritin comigratory protein,A0A0H2XA18,GO:0005623; GO:0016209; GO:0016491; GO:0045454,,K03564,Xanthomonas campestris pv. campestris (strain 8004)
2430,XC_2497,XC_2497,Uncharacterized protein,A0A0H2X874,GO:0005524,,K07175,Xanthomonas campestris pv. campestris (strain 8004)
2431,XC_2498,XC_2498,Uncharacterized protein,A0A0H2X8H8,,,,Xanthomonas campestris pv. campestris (strain 8004)
2432,XC_2499,XC_2499,Phosphomethylpyrimidine kinase,A0A0H2XA49,GO:0005524; GO:0008972; GO:0009228,,K00941,Xanthomonas campestris pv. campestris (strain 8004)
2433,XC_2500,XC_2500,Uncharacterized protein,A0A0H2X8F6,,,,Xanthomonas campestris pv. campestris (strain 8004)
2434,XC_2501,XC_2501,Uncharacterized protein,A0A0H2XA23,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2435,XC_2502,XC_2502,Transcriptional regulator,A0A0H2X877,GO:0003677; GO:0003700; GO:0006351,,,Xanthomonas campestris pv. campestris (strain 8004)
2436,XC_2503,XC_2503,Uncharacterized protein,A0A0H2X8I0,,,K06911,Xanthomonas campestris pv. campestris (strain 8004)
2437,XC_2504,XC_2504,Chemotaxis protein,A0A0H2XA54,GO:0005622; GO:0016020; GO:0000155; GO:0006935,,K03406,Xanthomonas campestris pv. campestris (strain 8004)
2438,XC_2505,XC_2505,Uncharacterized protein,A0A0H2X8G0,,,,Xanthomonas campestris pv. campestris (strain 8004)
2439,csrA,XC_2506,Carbon storage regulator homolog,Q4UTR7,GO:0003723; GO:0006402; GO:0006109,,K03563,Xanthomonas campestris pv. campestris (strain 8004)
2440,alaS,XC_2507,Alanine--tRNA ligase,Q4UTR6,GO:0005737; GO:0004813; GO:0005524; GO:0000049; GO:0008270; GO:0006419,6.1.1.7,K01872,Xanthomonas campestris pv. campestris (strain 8004)
2441,recX,XC_2508,Regulatory protein RecX,Q4UTR5,GO:0005737; GO:0006282,,K03565,Xanthomonas campestris pv. campestris (strain 8004)
2442,recA,XC_2509,Protein RecA,Q4UTR4,GO:0005737; GO:0005524; GO:0003684; GO:0008094; GO:0003697; GO:0006310; GO:0006281; GO:0009432,,K03553,Xanthomonas campestris pv. campestris (strain 8004)
2443,lexA,XC_2510,LexA repressor,A0A0H2XA28,GO:0003677; GO:0004252; GO:0006281; GO:0006260; GO:0045892; GO:0009432; GO:0006351,3.4.21.88,K01356,Xanthomonas campestris pv. campestris (strain 8004)
2444,XC_2511,XC_2511,Probable protein kinase UbiB,A0A0H2X880,GO:0016021; GO:0005886; GO:0005524; GO:0016301; GO:0006744,2.7.-.-,K03688,Xanthomonas campestris pv. campestris (strain 8004)
2445,XC_2512,XC_2512,TonB-dependent receptor,A0A0H2X8I3,GO:0016020; GO:0004872; GO:0006810,,,Xanthomonas campestris pv. campestris (strain 8004)
2446,XC_2513,XC_2513,Uncharacterized protein,A0A0H2XA60,,,K03743,Xanthomonas campestris pv. campestris (strain 8004)
2447,hflX,XC_2514,GTPase HflX,A0A0H2X8G5,GO:0005737; GO:0005525; GO:0003924; GO:0000287,,K03665,Xanthomonas campestris pv. campestris (strain 8004)
2448,hfq,XC_2515,RNA-binding protein Hfq,Q4UTQ8,GO:0003723; GO:0006355,,K03666,Xanthomonas campestris pv. campestris (strain 8004)
2449,miaA,XC_2516,tRNA dimethylallyltransferase,Q4UTQ7,GO:0005524; GO:0052381; GO:0008033,2.5.1.75,K00791,Xanthomonas campestris pv. campestris (strain 8004)
2450,XC_2517,XC_2517,Dihydropteroate synthase,A0A0H2XA32,GO:0004156; GO:0046872; GO:0046656; GO:0046654,2.5.1.15,K00796,Xanthomonas campestris pv. campestris (strain 8004)
2451,ftsH,XC_2518,ATP-dependent zinc metalloprotease FtsH,A0A0H2X884,GO:0016021; GO:0005886; GO:0005524; GO:0016887; GO:0004222; GO:0008270; GO:0051301; GO:0030163,3.4.24.-,K03798,Xanthomonas campestris pv. campestris (strain 8004)
2452,rlmE,XC_2519,Ribosomal RNA large subunit methyltransferase E,Q4UTQ4,GO:0005737; GO:0008650,2.1.1.166,K02427,Xanthomonas campestris pv. campestris (strain 8004)
2453,XC_2520,XC_2520,Uncharacterized protein,A0A0H2X8I9,GO:0003723,,K07574,Xanthomonas campestris pv. campestris (strain 8004)
2454,XC_2521,XC_2521,Uncharacterized protein,A0A0H2XA64,,,,Xanthomonas campestris pv. campestris (strain 8004)
2455,XC_2522,XC_2522,Lipoprotein,A0A0H2X8G8,,,K06194,Xanthomonas campestris pv. campestris (strain 8004)
2456,XC_2523,XC_2523,Uncharacterized protein,A0A0H2XA37,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2457,pcm,XC_2524,Protein-L-isoaspartate O-methyltransferase,Q4UTP9,GO:0005737; GO:0004719; GO:0030091,2.1.1.77,K00573,Xanthomonas campestris pv. campestris (strain 8004)
2458,surE,XC_2525,5'-nucleotidase SurE,Q4UTP8,GO:0005737; GO:0008253; GO:0046872; GO:0000166,3.1.3.5,K03787,Xanthomonas campestris pv. campestris (strain 8004)
2459,XC_2526,XC_2526,Uncharacterized protein,A0A0H2X887,,,,Xanthomonas campestris pv. campestris (strain 8004)
2460,truD,XC_2527,tRNA pseudouridine synthase D,Q4UTP6,GO:0009982; GO:0003723; GO:0031119,5.4.99.27,K06176,Xanthomonas campestris pv. campestris (strain 8004)
2461,ispF,XC_2528,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",Q4UTP5,GO:0008685; GO:0046872; GO:0019288; GO:0016114,4.6.1.12,K01770,Xanthomonas campestris pv. campestris (strain 8004)
2462,ispD,XC_2529,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Q4UTP4,GO:0050518; GO:0019288; GO:0016114,2.7.7.60,K00991,Xanthomonas campestris pv. campestris (strain 8004)
2463,ftsB,XC_2530,Cell division protein FtsB,Q4UTP3,GO:0032153; GO:0005887; GO:0043093,,K05589,Xanthomonas campestris pv. campestris (strain 8004)
2464,eno,XC_2531,Enolase,Q4UTP2,GO:0009986; GO:0005576; GO:0000015; GO:0000287; GO:0004634; GO:0006096,4.2.1.11,K01689,Xanthomonas campestris pv. campestris (strain 8004)
2465,XC_2532,XC_2532,Uncharacterized protein,A0A0H2X8J3,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2466,kdsA,XC_2533,2-dehydro-3-deoxyphosphooctonate aldolase,Q4UTP0,GO:0005737; GO:0008676; GO:0019294,2.5.1.55,K01627,Xanthomonas campestris pv. campestris (strain 8004)
2467,pyrG,XC_2534,CTP synthase,Q4UTN9,GO:0005524; GO:0003883; GO:0046872; GO:0044210; GO:0006541,6.3.4.2,K01937,Xanthomonas campestris pv. campestris (strain 8004)
2468,XC_2535,XC_2535,Uncharacterized protein,A0A0H2XA69,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2469,parE,XC_2536,DNA topoisomerase 4 subunit B,A0A0H2X8H3,GO:0005694; GO:0005524; GO:0003677; GO:0003918; GO:0000287; GO:0007059; GO:0006265,5.99.1.3,K02622,Xanthomonas campestris pv. campestris (strain 8004)
2470,XC_2537,XC_2537,CDP-diacylglycerol pyrophosphatase,A0A0H2XA43,GO:0016020; GO:0008715; GO:0008654,,K01521,Xanthomonas campestris pv. campestris (strain 8004)
2471,XC_2538,XC_2538,Carboxypeptidase-related protein,A0A0H2X890,GO:0004185,,,Xanthomonas campestris pv. campestris (strain 8004)
2472,XC_2539,XC_2539,Uncharacterized protein,A0A0H2X8J7,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2473,XC_2540,XC_2540,Phosphate transporter,A0A0H2XA74,GO:0016021; GO:0005315; GO:0006817,,K03306,Xanthomonas campestris pv. campestris (strain 8004)
2474,XC_2541,XC_2541,Uncharacterized protein,A0A0H2X8H7,,,K07220,Xanthomonas campestris pv. campestris (strain 8004)
2475,XC_2542,XC_2542,Hemolysin,A0A0H2XA47,GO:0016021; GO:0050660; GO:0016614,,K03699,Xanthomonas campestris pv. campestris (strain 8004)
2476,XC_2543,XC_2543,ExoD protein,A0A0H2X894,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2477,XC_2544,XC_2544,General stress protein,A0A0H2X8K1,GO:0010181; GO:0016491,,,Xanthomonas campestris pv. campestris (strain 8004)
2478,XC_2545,XC_2545,Uncharacterized protein,A0A0H2XA79,GO:0016705,,,Xanthomonas campestris pv. campestris (strain 8004)
2479,XC_2546,XC_2546,MFS transporter,A0A0H2X8I1,GO:0016021; GO:0022857,,K08369,Xanthomonas campestris pv. campestris (strain 8004)
2480,XC_2547,XC_2547,ABC transporter ATP-binding protein,A0A0H2XA52,GO:0016021; GO:0005524; GO:0042626,,K06148,Xanthomonas campestris pv. campestris (strain 8004)
2481,XC_2548,XC_2548,Uncharacterized protein,A0A0H2X897,GO:0005622; GO:0005524; GO:0000155; GO:0006109,,,Xanthomonas campestris pv. campestris (strain 8004)
2482,XC_2549,XC_2549,Mg-protoporphyrin IX monomethyl ester oxidative cyclase,A0A0H2X8K5,GO:0003824; GO:0051536,,K04034,Xanthomonas campestris pv. campestris (strain 8004)
2483,XC_2550,XC_2550,Uncharacterized protein,A0A0H2XA82,,,,Xanthomonas campestris pv. campestris (strain 8004)
2484,XC_2551,XC_2551,Hexosyltransferase,A0A0H2X8I5,GO:0016740,,,Xanthomonas campestris pv. campestris (strain 8004)
2485,XC_2552,XC_2552,Glycosyltransferase,A0A0H2XA58,GO:0016740,,,Xanthomonas campestris pv. campestris (strain 8004)
2486,XC_2553,XC_2553,Biotin synthesis protein,A0A0H2X8A1,GO:0008168,,K02169,Xanthomonas campestris pv. campestris (strain 8004)
2487,XC_2554,XC_2554,Uncharacterized protein,A0A0H2X8K8,GO:0016810,,,Xanthomonas campestris pv. campestris (strain 8004)
2488,XC_2555,XC_2555,Methyltransferase,A0A0H2XA86,GO:0008168,,,Xanthomonas campestris pv. campestris (strain 8004)
2489,XC_2556,XC_2556,Uncharacterized protein,A0A0H2X8I8,GO:0016021; GO:0009103,,,Xanthomonas campestris pv. campestris (strain 8004)
2490,XC_2557,XC_2557,Uncharacterized protein,A0A0H2XA63,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2491,XC_2558,XC_2558,Glycosyl transferase,A0A0H2X8A5,GO:0016740,,,Xanthomonas campestris pv. campestris (strain 8004)
2492,XC_2559,XC_2559,Lipopolysaccharide biosynthesis protein,A0A0H2X8L4,GO:0016021,,K03328,Xanthomonas campestris pv. campestris (strain 8004)
2493,XC_2560,XC_2560,Aminotransferase,A0A0H2XA92,GO:0008483,,,Xanthomonas campestris pv. campestris (strain 8004)
2494,XC_2561,XC_2561,Uncharacterized protein,A0A0H2X8J2,,,,Xanthomonas campestris pv. campestris (strain 8004)
2495,XC_2562,XC_2562,Cytochrome like B561,A0A0H2XA66,GO:0016021; GO:0009055; GO:0022904,,K12262,Xanthomonas campestris pv. campestris (strain 8004)
2496,XC_2563,XC_2563,Cytochrome C,A0A0H2X8A9,,,,Xanthomonas campestris pv. campestris (strain 8004)
2497,XC_2564,XC_2564,Cytochrome C2,A0A0H2X8L9,GO:0009055; GO:0020037,,K08738,Xanthomonas campestris pv. campestris (strain 8004)
2498,XC_2565,XC_2565,Uncharacterized protein,A0A0H2XA97,,,,Xanthomonas campestris pv. campestris (strain 8004)
2499,XC_2566,XC_2566,RNA polymerase sigma-E factor,A0A0H2X8J6,GO:0003677; GO:0016987; GO:0003700; GO:0006352,,K03088,Xanthomonas campestris pv. campestris (strain 8004)
2500,XC_2567,XC_2567,Uncharacterized protein,A0A0H2XA71,,,,Xanthomonas campestris pv. campestris (strain 8004)
2501,XC_2568,XC_2568,Serine protease,A0A0H2X8B4,GO:0004252,,,Xanthomonas campestris pv. campestris (strain 8004)
2502,XC_2569,XC_2569,Heme exporter protein C/cytochrome C-type biogenesis protein,A0A0H2X8M3,GO:0016021; GO:0020037; GO:0015232; GO:0017004,,K02195,Xanthomonas campestris pv. campestris (strain 8004)
2503,XC_2570,XC_2570,Heme exporter protein D,A0A0H2XAA1,GO:0016021; GO:0005886; GO:0017004; GO:0015886,,K02196,Xanthomonas campestris pv. campestris (strain 8004)
2504,ccmE1,XC_2571,Cytochrome c-type biogenesis protein CcmE 1,Q4UTK2,GO:0016021; GO:0005886; GO:0046872; GO:0017004; GO:0017003,,K02197,Xanthomonas campestris pv. campestris (strain 8004)
2505,XC_2572,XC_2572,C-type cytochrome biogenesis membrane protein,A0A0H2X8J9,GO:0016021; GO:0020037; GO:0015232; GO:0017004,,K02198,Xanthomonas campestris pv. campestris (strain 8004)
2506,XC_2573,XC_2573,C-type cytochrome biogenesis protein/thioredoxin,A0A0H2XA75,GO:0030288; GO:0016209; GO:0015036; GO:0045454; GO:0017004,,K02199,Xanthomonas campestris pv. campestris (strain 8004)
2507,XC_2574,XC_2574,C-type cytochrome biogenesis protein,A0A0H2X8B8,GO:0016021,,K02200,Xanthomonas campestris pv. campestris (strain 8004)
2508,XC_2575,XC_2575,Uncharacterized protein,A0A0H2X8M8,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
2509,XC_2576,XC_2576,Histidine kinase/response regulator hybrid protein,A0A0H2XAA5,GO:0005622; GO:0000155,,,Xanthomonas campestris pv. campestris (strain 8004)
2510,XC_2577,XC_2577,Uncharacterized protein,A0A0H2X8K2,GO:0005524,,K08482,Xanthomonas campestris pv. campestris (strain 8004)
2511,XC_2578,XC_2578,Response regulator,A0A0H2XA80,GO:0016021; GO:0005622; GO:0000160,,,Xanthomonas campestris pv. campestris (strain 8004)
2512,XC_2579,XC_2579,Histidine kinase,A0A0H2X8C0,GO:0005622; GO:0005524; GO:0000155; GO:0006355,2.7.13.3,,Xanthomonas campestris pv. campestris (strain 8004)
2513,XC_2580,XC_2580,Endonuclease,A0A0H2X8N3,GO:0004519; GO:0046872; GO:0003676,,K01173,Xanthomonas campestris pv. campestris (strain 8004)
2514,XC_2581,XC_2581,Uncharacterized protein,A0A0H2XAB3,,,,Xanthomonas campestris pv. campestris (strain 8004)
2515,XC_2582,XC_2582,Uncharacterized protein,A0A0H2X8K7,,,,Xanthomonas campestris pv. campestris (strain 8004)
2516,XC_2583,XC_2583,Uncharacterized protein,A0A0H2XA85,,,,Xanthomonas campestris pv. campestris (strain 8004)
2517,XC_2584,XC_2584,Uncharacterized protein,A0A0H2X8C5,,,,Xanthomonas campestris pv. campestris (strain 8004)
2518,XC_2585,XC_2585,Dehydrogenase,A0A0H2X8N8,GO:0016627,,,Xanthomonas campestris pv. campestris (strain 8004)
2519,XC_2586,XC_2586,Uncharacterized protein,A0A0H2XAB6,,,,Xanthomonas campestris pv. campestris (strain 8004)
